odia_word,desia_word,desia_sentence
ରବର , ଲାବର୍‌,
ରଣ , ରୁନ/ ଉଦାର୍‌ / ୟୁଯ୍‌,
ରୁଆ , ରୋପା,
ରହିତ , ରହିତ୍‌,
ରାତ୍ର , ରାତି,
ରାଗିବା , ରିସା,
ରକ୍ତ , ବନି,
ରାନ୍ଧିବା , ରାନ୍ଧୁ,
ରଖ୍ବା , ରଖ୍‌,
ରଙ୍ଗ , ରଙ୍ଗ,
ରାକ୍ଷାସ ,  ଅସୁର/ ରାଖସ୍‌,
ରଡ଼ି , ରାଟୁ / କିର୍‌ ହେବା,
ରୁଣ୍ଡ , ଜମା ହେବା,
ରାଜି , ମାନିବା / ମାନ୍ବାର,
,,
ରାୟ , ବିଚାର୍ନା,
ରୁଚି , ସ୍ବାଦ,
ରୁଡ଼ି , ବାକନା,
ରାସ୍ତା , ବାଟ୍‌,
ଲଙ୍କା , ମରିଚ୍‌,
ଲାଲ୍‌ , ରଙ୍ଗ,
ଲୁଣ/ ଲବଣ , ନୁନ୍‌,
ଲତା , ଡିର୍‌,
ଲାଭ , ଲାବ୍‌,
ଲୁଣିଆ , ଖାରିଆ,
ଲୁଗା , ଫଟାଇ / ଶାଢ଼ୀ,
ଲଙ୍ଗଳ , ନଙ୍ଗଲ,
ଲମ୍ଭା , ଡେଙ୍ଗ,
ଲୁଚି ପଳାଇବା , ଫାଲାରୀ,
ଲୁହାକଣ୍ଠା , ଖୁଟି/ ମେଖ,
ଲାଠି , ଠେଙ୍କ,
ଲାଞ୍ଜ , ଲେଂଜ୍‌,
ଲୋକ , ଲକ୍‌,
ଲଅରପଅର , ଲସର୍‌ଫସର୍‌,
ଲକ୍ଷ , ଲାକ୍‌,
ଲକ୍ଷପତି , ଲାକ୍ପତି,
ଲଘିଷ୍ଟ , ଉଷାସ୍‌,
ଲଙ୍କାପାଣ୍ଡୁ , ଭାଲିଆ,
ଲଜା , ଲାଜ୍‌,
ଲାଙ୍ଗୁଡ଼ , ଲେଞ୍ଜ୍‌,
ଲଣ୍ଠନ , ଲାନ୍ତର୍‌,
ଲଡୁ , ଲାଡୁ,
ଲୁହ / ଲୋତକ , ଅଆଁସୁ,
ଲିପିବା , ସାରାଇବା,
ଲହରି , ଲହଡ଼ି,
ଲହୁଣି , ଖୁର୍‌ସା,
ଲାଖୁଯିବା , ଢ଼ସିବା,
ଲୋଭି , ମୁସ୍‌କା,
ଲୁଣି , ଖାରିଆ,
ଲେନ୍ସାଏ , ଭାରେକ୍‌,
ଲୋମ , ରୁମ୍‌,
ଲୋକକଥା , କାତାନି,
ଲୋମସ୍‌ , ଭୁ୍ସା,
ଲହରା , କାମାର୍‌,
ଲୌହ , ଲୁଆ,
ଶସ୍ତା , ଶାସ୍ତା,
ଶରୀର , ଗାଗତ୍‌,
ଶହ , ଶଏ,
ଶୌରା , ରା,
ଶକ୍ତି , ବପୁ,
ଶକ୍କୁଡ଼ି , ସକ୍‌ଡ଼ି,
ଶଶୁର , ସାତ୍ରା,
ଶାଶୁ , ସାତ୍ରି,
ଶଳା , ସାଲା,
ଶୁକ୍ରବାର , ଶୁକୁର୍‌ ବାର୍‌,
ଶଗଡ଼ , ଶଗତ୍‌,
ଶଂକୋଚ , ଦୁଇ ମୁନିଆ,
ଶଂଖ , ଶଂଖ୍‌,
ଶଜନା ଶାଗ , ମୁନ୍‌ଗା ଶାଗ୍‌,
ଶୀତ , ଶୀତ,
ଶପ , ଟାଟି,
ଶର , ଶର୍‌ / କାଣ୍୍‌,
ଶୀର , ମୁଣ୍ଟ୍‌,
ଶରୁଆ , ଶପୁର୍‌,
ଶଳୀତା , ଶେଳ୍ତା,
ଶୋଷ , ଶଷ୍‌,
ଶାଗ , ଶାଗ୍‌,
ଶାଗୁଆ , କାଚା ପତ୍ରିଆ,
ଶାଗୁଣା , ଗିଦ୍‌,
ଶାଳ , ଶର୍ଗି,
ଶାଣିତ , ଧାରିଆ,
ଶାଧା , ମାମୁଲ୍‌,
ଶ୍ୟାମଳୀ , କାଲିଆ,
ଶିଂଗ , ଶିଂଗ୍‌,
ଶିଉଳି , ବିଚଲ୍‌,
ଶିକ୍ଷା , ପାଟ୍‌,
ଶିଷ୍ୟ , ଶିଷ୍‌ / ଚେଲା,
ଶିଖୁବା , ଶିକ୍ବା,
ଶୀରା , ଛିର୍‌,
ଶିଳା , ପାକ୍ନା,
ଶିର୍‌ପା , ମୁକୁଟ୍‌,
ଶୀତଳ ,  କାକର୍‌,
ଶୁଆ , ରୁପୁ ,
ଶେଷ ଭାଗ , ସରାଶର,
ଶ୍ରୁଧା , ଶର୍ଦା,
ଷଣ୍‌ , ଷଣ୍୍‌,
ଷାଠିଏ , ଷାଟେ,
ସଅଳ , ବେଗିବେଗି,
ସାଙ୍ଗ , ସଙ୍ଗାଡ଼ି,
ସଙ୍ଗାତ , ମୈତର୍‌,
ସଙ୍ଗୀତ , ଗୀତ୍‌,
ସଙ୍ଗୀତଜ୍ଞ , ଗୀତ୍କାର୍‌,
ସଞ୍ଜ , ସଞ୍ଚ୍‌,
ସକାଳ , ସାକାଲ୍‌,
ସତ , ସତ୍‌,
ସନ୍ତାନ ସନ୍ତିତ , ପିଲାଟକି,
ସନ୍ଧ୍ଯାକାଳିନ , ସଞ୍ଚବେଲା,
ସ୍ଵପ୍ନ , ସପନା,
ସଭିଏଁ , ସବ୍ଲକ୍‌,
ସମୁଦ୍ର , ସମ୍ଦୁର୍‌,
ସମୁଦି , ସମ୍ଦି,
ସଂର୍ପକୀୟ , ଲୋକ୍ବାକ୍‌,
ସ୍ଵର , ସରଗ୍‌,
ସତର୍କ , ହୁସିଆର୍‌,
ସହଧମିଣୀ , ମାଇଜି,
ସମାନ୍‌ , ଏକାପରା,
ସାହାସ , ସାଅଁସ୍‌,
ସହିଯିବା , ସଚିମ୍ରା ପଡ଼ିବା,
ସାହାଯ୍ୟ , ସାଇଜ,
ସାଉଁଟିବା , ରୁଣ୍ଡାରୁଣି,
ସାକ୍ଷାତ , ଭେଟ୍‌ ହେବା,
ସୁଚାରୁ ରୂପେ , ନିକ କରି,
ସୁନ୍ଦର , ସୁନ୍ଦର୍‌,
ସୁସୁରୀ ମାରିବା , ସୁଇଟି ମାରିବା, ହିଡ଼ି ନିକରେଲେ ଆକା ଧାନ୍‌ ମିସା ନିକ ଏସି |
ସଉତୁଣି , ସତେନ୍‌,
ହାତ , ହାତ୍‌,
ହଜାର , ହାଜାର୍‌,
ହୁଡ଼ା , ହିଡ଼ି ,
ହରଡ଼ , କାନ୍ଦୁଲ,
ହଳ , ହଲ୍‌,
ହାକୁଡ଼ି , ହୁଲ୍କି,
ହାଟ , ହାଟ୍‌,
ହଂକା , ବିନ୍‌,
ହାଡ , ହାତ୍‌,
ହୁସିଆର , ଜାଗ୍ରତ, ତାର ବୁଲ୍କେ ଖେମା କରି ଦିଆସ୍‌ |
ହାଣ୍ଡିଶାଳ , ରାନ୍ଧାଘର୍‌, ଟାକ୍ଟର ଲାଙ୍ଗଲ୍‌ ଆନେ ହଲ୍‌ କଲେ ଦୁବଝାଡ଼ ମନ୍‌ ମର୍‌ସି।
ହାତୁଡ଼ି , ମୁଟ୍ଲା,  ଆମର୍‌ ଲୋକ ମନ୍‌ ଦାରୁର୍‌ ଲାଙ୍ଗଲ୍‌ ସଂଗେ ହଲ୍‌ କର୍ବାଏ।|
ହିଞ୍ଜଡ଼ା , ବେଜୁ,  କଡ଼୍‌କି ଆନେ ମାଟି ଖତ୍ଲେ ମାଟି ନିମାନ୍‌ ଖଡ଼ି ହେଇସି।
କ୍ଷମା , ଖେମା ,  ବଡ଼୍‌ ବଡ଼୍‌ ଦାରୂମନ୍କେ ନିମାନ୍‌ ପଡ଼ା କରି ହେଇସି।
କଳ ଲଙ୍ଗଳ , ଟାକ୍ଟର ଲାଙ୍ଗଲ ,  ଖୁସୁନି ଆନେ ଗଚ ଚାରିବାଟେ ମାଟି ଗୁଡକ୍‌ଲେ ମାଟି ଉଷାସ୍‌ ହେଇସି।
ଲଙ୍ଗଳ , ଲାଙ୍ଗଲ ,  ଧାନ୍‌ କାଟିବାକେ ଇଲା ଲଡ଼ା ହେଇସି |
କୋଦାଳ ,  କଡ଼କି ,  ଲାଙ୍ଗଲ୍‌ ଆନେ ଫାଲ୍‌ ଲାଗଲେ୍‌ ନିମାନ୍କରି ହଲ୍‌ କରି ହେଇସି।
କୁରାଡ଼ି , କୁରାଡ଼ି ,  ବାଚାମନ୍‌କେ ହଲ୍‌ କର୍ବାକେ ହଲଦୁଢ଼ବାଟ ଲାଡ଼ା ହୋଇସି।
ଖୁରୁପୀ , ଖୁସ୍‌ନି ,  ପାନି ଚେଣ୍ଡାଆନେ ଉଠାଇ ନାଲେ ରକାୟଲେ ପାନି ଗଚ୍ମନ କେ ହାଇସି।
ଦାଆ , ଇଲ ,  ଖୁଟି ମାର୍ବା କାଜେ ମୁଟୁଲା ଲାଡ଼ା ହେଇସି |
ଫାଳ , ଫାଲ , ପିଆଲ୍‌ କାଟ୍ବା ମିଶିନ୍‌ ଆନେ ପିଆଲ୍‌ କାଟ୍‌ଲେ ଛତୁ ଗୃଷ୍‌ କେ କାମ ଦେଇସି |
ଜୁଆଳି ,  ଜୁବୋଟା ,  ଡ଼ିକି ଆନେ ଧାନ୍‌ କୁଟ୍ବାର୍‌ |
ତେଣ୍ଡା , ଚୁଆରନି ,  ମନୁଷ୍ମନ୍‌ କାଉଡ଼ିକରି ପାନି ବଇବାଏ |
ହାଚୁଡ଼ି , ମୁଟୁଲା ,  ମାଇଜିମନ୍‌ ରାପାତାନେ ବାଲିରାପି ଟାକଟର୍‌ଆନେ ପକାଇଲେନି।
ନଡ଼ାକଟା ଯନ୍ତ୍ର , ପିଅଲ କାଟବା ମିଶିନ୍‌ , ଦବିଅନ୍‌ ବୁନଲାର ପଟେ ପାଟାମାର ।
ଢେକି ,  ଡିକି/ଡେକି ,  ଶୁକୁଲା ଦାରୂର ଗଣି କେ କାଟବାକେ କରତ ଲାଡ଼ା ହେଇସି।
ବାହୁଙିଂ , କାଉଡ଼ି ,  ସୁନା ବନାୟବା ଲୋକ୍‌ ଲାଗେ ଚିମ୍ଟା ରେଇସି |
ଫାଉଡ଼ା , ରାପା ,  ଆମର୍‌ ଗୀଏ ଆଗର୍ନି ଚାଷ ହେଲାନି |
ମଇ , ପଟାମାରବାଟା ," ପଡ଼ିଆ ଜମିଆନେ ଭାଲିଆ, ମାଣିଆ, ଗୃଷ ହେଇସି |"
କରତ ,  କରତ ,  ଖତୁଆ ବେଡ଼ା ଆନେ ଧାନ ପାଚି ନିମାନ୍‌ ହୋଇସି |
ସଣ୍ଡୁ୍‌ଆସି , ଚିମଟା ,  ରାମର୍‌ ବୁଆ ଗଟେକ୍‌ ଚାଷି ଆୟ |
,,  ଜଗନ୍ନାଥର ବେଡ଼ାକୁଡ଼ା ଜବର୍‌ ଆଚେ |
କୃଷି , ଗ୍ବଷ , ରାମ ତାର୍‌ ଖତୁଆ ଜମି ତାନେ ନିକ ଧାନ ପାଗ୍ନଇଲାନି ।
ଅନୁର୍ବର , ଡଙ୍ଗର ବା ପଡ଼ିଆବେଡ଼ା,  କଲାବ୍‌ ଗାଡ଼୍‌କେ ଡେମ୍‌ ବାନ୍ଦ୍ବାକେ ଅମର୍‌ ଡେମ୍‌ ହେଲା ଆଚେ।
ଉର୍ବର , ଖତୁଆ ,  ନାଲର୍‌ ପାନି ଗାଡ଼ ଆନେ ଗାଲାନି |
କୃଷକ , ଗ୍ଷି , ବନ୍ଦେ ଜବର୍‌ ମାଚ୍‌ ଆଚେ |
ଜମି , ବେଡ଼ା , ଜମି ଆନେ ପାନି ମଡ଼ାଇଲେ |
ଉତ୍ପାଦନ , ଅଜିବା/ ପଗଇବା , ଆମର୍‌ ଗାଏଁ ଦିନ୍‌ ଦେଖ୍‌ ପରବ୍‌ ହେଇସି |
ନଦୀ , ଗାଡ଼ , ବର୍ଷାଦିନେ ଧାନ୍‌ ଚାଷ ହେଇସି |
ନାଳ , ନାଲ୍‌ , ପାନି ଜବର୍‌ ମାର୍ଲେ ସରି ଗାଡ଼େ ପୁର୍‌ ଆଇସି |
ପୋଖରୀ , ବନ୍ଦ ," ଖାରା ହେଲେ ଗାଡ଼୍‌ବନ୍ଦ୍‌, ନାଲର୍‌ ପାନି ଶୁକି ଯାଇସି |"
ଜଳ ସେଚନ , ପାନି ମଡ଼ାଇବା , ତପ୍‌ଲା ଭାତ କାକର୍‌ ଦିନେ ଖାଇବାଟା ନିମାନ୍‌ |
ରତୁ , ଦିନ୍‌ , ଖାରା ଦିନେ ବାଟ୍ମନ୍‌ ତପ୍‌ସି |
ବର୍ଷାରତୁ , ବର୍ଷୀଦିନ୍‌ ," ଜଗତ୍‌ କେ ସୁରଜ୍‌, ଉଜଲ୍‌ ଦେକାଇଶି |"
ବନ୍ଯା , ପୁର୍‌ , ନଲ୍‌ ଚୁଆଁର ପାନି ନିମାନ୍‌ |
ଖରା , ଖାରା , ତୁଲ୍ସି ଗଚର୍‌ ପବନ୍‌ ଗାଗଡ଼୍‌କେ ନିମାନ୍‌ |
ଗରମ୍‌ , ତପ୍ଲା , ଉଜଲ୍‌ ନା ରେଲେ ଜିଇ ନାହଏ |
ଉତ୍ତାପ , ତାତି/ ତପଲା ,  ଜମି ଆନେ ବିଅନ୍‌ ପକାଇଲେ ସରିଗାଜା ହେଇସି |
ସୂର୍ଯ୍ୟ କିରଣ , ସୁରଜ ଉଜଲ /ବେଲ୍‌ ତରାସ୍‌ , ଏସୁ ସବୁଲୋକ୍‌ ଜନା ବିଅନ୍‌ ରପ୍ଲା ଆଚତ୍‌ |
ପାଣି , ପାନି ,  ଜମି ଆନେ ଖତ୍‌ ପକାଇଲେ ସରି ପାଚି ନିକ ହେଇସି
ପବନ , ପବ୍ନ ,"  ଗୋଚର ଜମିଆନେ ଗୋରୁ, ଛେଳି ଚର୍ବାଏ |"
ଆଲୋକ , ଉଜଲ୍‌ , ଧାନ୍‌ ପାଲାକେ ରପା କଲେ ପାଚି ନିମାନ୍‌ ହେଇସି |
ଅଙ୍କୁରୋଦଗମ , ଗାଜା ହେବାର ,  କଟାର୍‌ ଥାନେ ଧାନ୍‌ ମଣ୍ଡାଳି ହେଇସି |
ବିହନ , ବିଅନ ,  ସମାରୁ ତାର୍‌ ବେଡ଼ାଏ ଦୂଇପାଚି କର୍ସି |
ଖତ , ଖତ୍‌ ,  ଗୀମନ୍‌କେ ପିଆଲ୍‌ ଛାଇଲା ଘର୍‌ ମନ୍‌ ଜବର୍‌ ଆଚେ |
ଗୋଚର , ଗଚର ,"  ପୋଡ଼୍‌, ବଏଲ୍‌, ମନ୍‌ ଘାସ୍‌ ପିରି ଖାଇବାଏ |"
ରୁଆ , ରପା ,  ଶଗଡ଼୍‌ ଆନେ ବାସ୍ତା ଲାଦିକରି ହାଟେ ନେବାର୍‌ |
ଖଳା , କଟାର୍‌ ,  ବାଟ୍‌ ପାଲିକେ ଗଚ୍ମନ୍‌ ରପ୍ଲେ ନିକ ରଇସି |
ଫସଲ , ଚାଷ/ ପାଚୁ ,  ସେମି ମାଲ୍‌ ଆନେ ସେମି ଧର୍ସି |
ନଡ଼ା , ପିଆଲ୍‌/ ପିରି ,"  ଭାଜି ଶାଗ୍‌, ତୁଲ୍‌ସି ହେଲାନି ସାନ୍‌ଗଚ୍‌ |"
ଘାସକୁଟା , ଘାସପିରି ,  ଗଚର୍‌ ମୂଲ ବଇଦକାରି ଓଷ ହେଇସି |
ବଳଦଗାଡ଼ି , ଶଗଡ଼ ,"  ଗଚର୍‌ ଗଣି ଆନେ କବାଟ୍‌, ଦ୍ଵାର୍ବନ୍ଦ୍‌ ହୋଇସି |"
ଗଛ , ଗଚ , ଗଚର୍‌ ଦେନ୍ଦା କାଟି ଦାରୁ କର୍ବାର୍‌ - ଡାଲ୍‌ କାଟି ଗେନ୍ଦା ଡାଲ ଛାମୁଣ୍ଡିଆ ବନାଇବାର ।
ଲତା , ମାଲ୍‌ ,"  ସର୍ଗି ପତର୍‌ ଚକ୍ନି, ଖଲି କରି ବିକ୍ବାର |"
ଛୋଟ ଗଛ , ସାନ ଗଚ୍‌ ,  ଫୁଲ ମାଲ୍‌ କରି ମାପୁରୁ ପୁଜା କର୍ବାଏ |
ମୂଳ ,  ମୂଲ ,  ଗୁଲାବି କଷି ଦେଖବାକେ ବଡ଼ ନିକ ଦିସ୍ସି |
କାଣ୍ଡ , ଗଣ୍ିି ,
ଶାଖା/ ଡ଼ାଳ , ସେନ୍ଦା / ପତର ରେବା,  ପାଚ୍ଲା ଆମ୍‌ ଫଲ ଖାଇବାକେ ବଡ଼େ ମଦୁର୍‌ |
ପତ୍ର , ପତର ,  କାନ୍ଦୁଲର୍‌ କାଚା ମଜି ରାନ୍ଦି ଖାଇବା କେ ସୁଆଦ୍‌ |
ଫୁଲ ,  ଫୁଲ୍‌ , ଘର ଚାରି ବେରନେ କେ କାଟା ଗଚେର କାଢିଦେଲେ ନିମାନ ରଇସି |
କଢ , କଷି ,  ଦାରୁ ଘର କରବାକେ ଦାରୁ ଲାଡ଼ା ହେଇସି |
ଫୁଲ ପାଖୁଡ଼ା , ଗୁଲାବିର ଫୁଟଲା ଫୁଲର ପାଲି ପତର ଆନରୁ ଅତର ହେଇସି |,  ସରତେ ଗଚର ଛାଲି ଓଷ୍‌ ହେଇସି |
ଫଳ ,  ଫଲ୍‌ ,"  କଉରୁ ଗଚର୍‌ ସୁତା ଆନେ ଦାମା, ଜୁଆଳି ତର, କୁଇସାଲଡ଼ର ହୋଇସି।"
ମଂଜି , ମଜି ,  ମଜିକେ ରପ୍‌ଲେ ସରି ଗାଜା ହେଇସି |
କଣ୍ଟା , କାଟା ,  ପାକ୍ଲା ଆମ ଖାଇବାକେ ସର୍ଦା ଲାଗ୍‌ସି |
କାଠ ,  କାଟ/ ଦାରୁ ,  ପିପ୍ଲି ଗଚର୍‌ ଦାରୁକେ ଘରେ ଆନି ଧୂଆ ଦେଲେ ସରି ସାପ୍‌ ପାଲାଇସି।
ଛାଲି ,  ଛେଲି ,"  ଗାୟ୍‌, ଗୋରୁ, ଛେଲି, ମେଣିମନ୍‌ ଘାସ୍‌ ଖାଇବାଇ |"
ତନ୍ତୁ , ସୁତା ,  ବୁଦା ତଲେ ଗଟେକ୍‌ ଖାଡ଼ା ଶଇରେଲା |
ଅଙ୍କୁର , ଗାଜା ,  ନାଡ଼ିଆ ଗଚ୍ମନ୍‌ ଲୁନିମାଟି ଆନେ ନିମାନ୍‌ ବଡ଼୍‌ସି |
ଆତ୍ମ , ଆମ୍‌ ,  ଖଜୁର କାଲି ଖାଇବାକେ ଗଚେ ଚେଗଲାଇ |
ଅଶ୍ବତଥ ଗଛ , ପିପଲଗଚ ,  ପାକଲା ତାଲଫଲ ଖାଇଲେ ସରି ବଡ଼େ ମିଟା |
ଘାସ , ଘାସ୍‌ ,"  ବାଉଶ ଆନେ ବାଡ଼ି ବୂନବାର, ଗଙଂଡ଼ା କୂଲା, ତୁଟି ହେଇସି।"
ଗୁଳ୍କମ/ ବୁହା , ବୁଦା , ବାଉଶ କମନ୍‌ ପର୍ବତେ ଗର୍‌ ଚାଇବାକେ ଲଡ଼ା ଦେଇସି|
ନଡ଼ିଆ ଗଛ , ନାଡ଼ିଆଗଚଟ୍‌ , ଦାଣ୍ଡାର ରସ୍‌ ଆନେ ଗୁଡ଼ ହେଇସି |
ଖଜୁରୀଗଛ ,  ଖଜୁରୀଗଚ୍‌ ,"  କଦଲି ଗଚ୍ର ଶୁକିଲା ପତର୍‌ କେ ପଡ଼ାଇ ମୁଣ୍ତେ ରେତଲେ ଉକୁନି, ଲିକା ମନ୍‌ ମରବାଏ |"
,, ଜାମୁକୋଲି କେ ଖାଇଲେ ସୁଅଦ୍‌ ଲାଗସି।
ତାଳଗଛ ,  ତାଲଗଚ୍‌ , ନିମ କେ ଶୁକାଇ କରି ଧୂଆଁ ଦେଲେ ମଚିମନ୍‌ ଘର ଛାଡ଼ି ପାଲାଇବାଏ।
ବାଉଁଶ , ବାଉଶ୍‌ , ଡାଲିମ୍‌ ଖାଇବାକେ ମକେ ସରଦା ଲାଗସି |
ବାଉଁଶ ବଣ , ବାଉଶ କମନ୍‌ ,  ତୁଲସି ପତର୍‌ ରସ୍‌ ଜରଆରି କକ୍ଲି ଚଡ଼ାଇସି |
ଆଖୁ , ଦାଣ୍ଡା ,  ପାକଲା ପନସ୍‌ ଖାଇବାକେ ବାଲୁ ଗଚେ ଟେଗସି |
କଦଳୀ ଗଛ , କଦଳୀଗଟ ,  ସରଗି ଗଚର ପତର ର ଚକ୍ନି |
ଜାମୁକୋଳି ଗଛ , ଜାମୁକୋଲି ଗଚ୍‌ ,  ସେମଲି ଗଟେ ଫୁଲ୍‌ ରଂଗ୍ରଂଗ ଫୁଲ୍‌ ଫୁଟିଲାନି |
ନିମ୍ଭଗଛ ,  ନିମଗଚ୍‌ ,  ଆମର ଇସ୍କୁଲଲେ ପାଇନ୍‌ଟଗଟ୍‌ ରୋପିଲୁ ଆଚୁ |
ଡାଲିମ୍ଭ ଗଛ , ଡାଲିମ୍‌ ଗଚ୍‌ , ଆକାଶିଆ ଗଚର ଦାରୁ ଜଇ ଲଗାଇ ରାନ୍ଦବାର ।
ତୁଳସି ,  ତୁଲସି ,  ଗୁଆ ଗଚେ ଗୁଆ ଫଲ ଫଲସି |
ପଣସଗଛ , ପନସ୍‌ ଗଚ୍‌ , ମୁନଗୀ ଗଚ୍ଆନେ ମୁନଗାପଲିସି |
ଶାଳଗଛ ,  ସରଗି ଗଚ୍‌ , ପାକ୍ଲା ମାଣ୍ଡା ଖାଇଲେ ଗାଗଡ଼ ନିକ ରେଇସି |
ଶିମୁଳି ଗଛ , ସେମଲି ଗଚ୍‌ , ଚିତା ପାକଲେ ବଡ଼ ମଧୁର ଲାଗସି |
ପାଇନ ଗଛ , ପାଇନ୍‌ ଗଟ୍‌ , ପାକଲା ବେଲ୍‌ ଖାଇବାକେ ମଧୁର ଲାଗସି |
ଆକାଶିଆ ଗଛ , ଆକାଶିଆ ଗଚ୍‌ ,  ଏ ଗଚର ଦାରୁକେ ଦାତୁନ୍‌ କଲେ ଦାନ୍ତ ଆଟ ରେଇସି |
ଗୁଆ ଗଛ ,  ଗୁଆ ଗଚ୍‌ , ଦେବଦାରୁ ବଡ଼େ ଲମ ଗଚ୍‌ ଆୟ ।
ସଜନାଗଛ , ମୁନ୍‌ଗା ଗଚ୍‌ , ଲିମୁକେ ଆନି ପାନା କରି ଖାଇଲେ ଗାଗଡ଼ ନିମାନ୍‌ ରଇସି।
ଅମୃତଭଣ୍ଡା ଗଛ , ଅମୃତ/ ମାଣ୍ଡା ଗଚ , ବୋରି ଗଚର୍‌ ପାକଲା କଲି ଖାଇବାକେ ସରଦା ଲାଗିସି।
ଆତ ଗଛ ,  ଚିତାଫଲ/ ଚିତାପାକ , ପାଚିଲା କଇଥ ଖାଇଲେ ନିମାନ ଲାଗିସି |
ବେଲ ଗଛ ,  ବେଲଗଚ୍‌ , ଗୁଲାବି ଗଚେ ଫୁଲ ପୁଟଲେ ସୁନ୍ଦର ଦିସ୍‌ସି |
ବଉଳ ଗଛ ,  ବଉଲ ଗଚ୍‌ , ଗୁଲାବି ଜାମ୍‌ ଦବଲା ଡିସସି |
ଦେବଦାରୁ ଗଛ , ଦେବଦାରୁ ଗଚ୍‌ , ପାକଲା ଜାମ୍‌ ଗାଦଲାମନ୍‌ ଖାଇବାଏ |
ଲେମ୍ଭୁଗଛ ,  ଲିମୁ ଗଚ୍‌ , ପାନି ସାହାଜର ଗଛଲିକେ ଗାୟକ୍ଷୀର ଆନେ ତୁକଲେ ହାଡ଼ ଆଟୁଆ ହୋଇସି।
ବରକୋଲି ଗଛ , ବୋରି ଗଚ୍‌ , ନାଗଫେନି କାଟା ମୁଣ୍ଡା ପାଲିକେ ରପଲେ ଗୋରୁନା ପସତ୍‌ |
କଇଥ ଗଛ , କଇଥ ଗଚ , ଗଚେ ଶହେ ଟକିଆ ଫୁଲ ଫୁଟଲେ ସୁଦର ଦିଶସି |
ଗୋପାଲ ଗଛ , ଗୁଲାବି ଗଚ୍‌ , ଟେକ ଗଚ୍‌ ଗୋଟେକ ବଡ଼ କାମର ଡାବୁ ଗଚ |
ଗୋଲାପ ଜାମୁଗଛ , ଗୁଲାବିଜାମୁ , ବବୁୂଲଗଚ୍‌ ଜବର୍‌ ରେଲେ କଷାକିଡ଼ା ଚାଷ କରି ହେଇସି।
ପିଜୁଳିଗଛ , ଜାମଗଚ , ଏସୁ ତେତ୍ଲି ଗଚେ ଜବର ତେତ୍ଲି ନା ହେଲା |
ଅର୍ଜୁନ ଗଛ , ପାନି ସାହାଜ , ବରଗଚେ ଦେବତା ତୁମାମନ ରେବାଏ ବୋଲି ଦିଶାରୀ କଇସି |
ନାଗଫେଣି , ନାଗଫେନି , କଦମ୍‌ ଫୂଲ ଗୁଣିଚାମାସେ ଫୁଟସି |
କାଠଚମ୍ପା ଗଛ , ଶହେଟକିଆ ଗଚ୍‌ , ବଦଲି ଗଚ୍ର ଫୁଲ ରଙ୍ଗ ଦିସସି |
ଶାଗୁଆନ ଗଛ , ଟେକ୍‌ ଗଚ୍‌ , ଶିଶୁଆ ଗଚ୍‌ ଗୋଟେକ ଡାବୁ ଗଚ୍‌ |
ବବୁଲ ଗଛ , ବବୁଲ ଗଚ୍‌ ," ଲିମୁ, କରନା ଗୋଟେକ କାଟା ଗଚ୍‌ |"
ତେନ୍ତୁଳି ଛ , ତେତ୍‌ଲି ଗଚ୍‌ , ଲାଜକୁଲି କେ ଛୁଇଲେ ବୁଜି ହୋଇସି |
ବରଗଛ ,  ବରଗଚ୍‌ , କାପାଆନେ ଲୁଗାପାଟା ବିଚନା ହୋଇସି |
କଦମ୍ଭ ଗଛ , କଦ୍‌ମ ଗଚ୍‌ , ଆୟାବୁଆ ଦାରୁଆନିବାକେ ଗଲାଏ |
ପଲାଶ ଗଛ , ବଦଲି ଗଚ୍‌ , ଆଗର ଲୋକମନ୍‌ କାନ୍ଦା ଖାଇ ଜିଇତେ ରେଲାଇ |
ଶିଶୁଗଛ ,  ଶିଶୁଆ ଗଚ୍‌ , କାରଲା ଗୋଟେ ଲାଟା ମାଲ |
କଣ୍ଟା ଗଛ ,  କାଟା ଗଚ୍‌ , ଜାଡା ତେଲ ମୁଣ୍ଡେ ରେତ୍ଲେ ମୁଣ୍ଡ ଦୁକା କମ୍‌ସି |
ଲାଜକୁଳି ,  ଲାଜକୁଲି , ଦୂବ୍ଜାତ୍‌ ଓଷ କରବାଏ |
କପାଗଛ ,  କାପା ଗଚ୍‌ , ଗୀ ମନ୍‌କେ ପିରି କୁଡ଼ିଆମନ୍‌ ଜବର ଆଚେ |
କାଠ , ଦାରୁ , ଗମାରୀ ଫଲ୍‌ ଆନେ କଫ୍‌ କାଟବା ଉଷ୍‌ କରବାଏ |
କନ୍ଦ , କାନ୍ଦା , ଚା ଗଚର କଅଲି ପତର୍‌ ଆନେ ଚା ହୋଇସି |
ଲତା , ଲାଟାମାଳ , ଶୁକୂଲି ପିରି ଆନେ ଛାଇଲେ ଜବର୍‌ ଦିନ ଯାଇସି |
ଗବଗଛ , ଜଡ଼ାଗଛ , ଛାତି ଖାଇବାକେ ବଡ଼ ସୁଆଦ୍‌ ଲାଗସି |
ଦୂବ ,  ଦୂବ ଝାଡ଼ , କାଉରିଆ ଗଚେ ଡୋର୍‌ ବନାଇକରି ବିକିବାଏ |
ନଡ଼ା ,  ପିରି/ ପିଆଲ , ଫୁଲ୍‌ ଗୁତ୍ଲେ ସେଟା ମାଲା ହେଇସି |
